name,avg_g3d_mark,bus_interface,max_memory_size,core_clock,max_direct,open_gl,max_tdp,test_directx_9,test_directx_10,test_directx_11,test_directx_12,test_gpu_compute
rtx 2000 ada generation,15223,,,,,,,195.0,90.0,130.0,66.0,5572.0
rtx a4000,15394,pcie 4.0 x16,16384.0,735.0,12_2,4.6,140.0,160.0,112.0,133.0,66.0,6757.0
radeon rx 6800s,15436,pcie 4.0 x8,8192.0,1800.0,12,4.6,100.0,188.0,90.0,133.0,64.0,6131.0
geforce rtx 3070,15439,pcie 4.0 x16,8192.0,1100.0,12,4.6,115.0,159.0,115.0,137.0,65.0,6957.0
geforce gtx 675mx,2717,pcie 3.0 x16,4096.0,667.0,11,4.5,100.0,59.0,13.0,21.0,9.0,1158.0
radeon igp 34xm,2,,,,,,,,,,,
radeon igp 340m,3,,,,,,,,,,,
radeon igp 345m,3,,,,,,,,,,,
mobility radeon 9200,3,agp 8x,64.0,,8.1,1.4,,,,,,
mobility radeon 9000,3,agp 4x,64.0,250.0,8.1,1.4,,,,,,
geforce4 420 go,3,agp 8x,32.0,200.0,7,1.2,,,,,,
radeon igp 320m,4,,,,,,,,,,,
mobility radeon 7500,4,agp 4x,64.0,280.0,7,1.3,,,,,,
geforce4 440 go,4,agp 8x,64.0,220.0,7,1.2,,,,,,
geforce4 4200 go,4,agp 8x,64.0,200.0,8.1,1.3,,,,,,
geforce2 go,4,agp 4x,32.0,143.0,7,1.2,,,,,,
radeon igp 350m,6,,,,,,,,,,,
geforce fx go 5200,8,agp x8,32.0,300.0,9,1.5,,,,,,
geforce 7000m / nforce 610m,13,,,,,,,,,,,
geforce 7000m,13,hyper transport,256.0,350.0,9.0c,2.1,,,,,,
geforce go 6200,15,pci-e x16,16.0,300.0,9.0c,2.1,,,,,,
geforce fx go 5600,18,agp x8,32.0,350.0,9,1.5,,,,,,
geforce 7150m / nforce 630m,18,,,,,,,,,,,
radeon xpress 200m,23,,,,,,,,,,,
geforce go 6400,24,pci-e x16,16.0,400.0,9.0c,2.1,,,,,,
mobility radeon 9700,27,agp 8x,128.0,450.0,9,2.0,,,,,,
mobility radeon 9550,30,agp 8x,64.0,210.0,9,2.0,,,,,,
mobility radeon x1450,33,pcie x16,128.0,550.0,9.0c,2.0,,,,,,
mobility radeon x300,34,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
mobility radeon 9600,36,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon 9600/9700,39,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon x1300,40,pcie x16,128.0,350.0,9.0c,2.0,,,,,,
mobility radeon x1350,40,pcie x16,128.0,470.0,9.0c,2.0,,,,,,
radeon xpress 1300m,40,,,,,,,,,,,
mobility radeon x1400,43,pcie x16,128.0,445.0,9.0c,2.0,,,,,,
geforce go 7200,45,pcie x16,64.0,450.0,9.0c,2.1,,,,,,
mobility radeon 9800,46,agp 8x,256.0,350.0,9,2.0,,,,,,
mobility radeon x2300,48,pcie x16,128.0,480.0,9.0c,2.0,,,,,,
mobility radeon x600,50,pci-e x16,128.0,400.0,9.0b,2.0,,,,,,
mobility radeon hd 2300,51,pcie x16,512.0,480.0,9.0c,2.0,,,,,,
geforce go 7300,52,pcie x16,512.0,350.0,9.0c,2.1,,1.0,0.0,0.0,0.0,0.0
geforce 8200m g,58,integrated (pcie 2.0 x16),256.0,400.0,10,3.3,,1.0,1.0,0.0,0.0,0.0
geforce 8400m g,59,pcie x16,128.0,400.0,10,3.3,10.0,,,,,
geforce g 103m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 3410,63,pcie x16 1.1,512.0,400.0,10.1,2.0,,,,,,
geforce g 105m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
geforce go 7400,66,pcie x16,256.0,450.0,9.0c,2.1,,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 4225,66,internal pcie x16 1.1,512.0,380.0,10.1,2.0,,,,,,
geforce 8400m gt,67,pcie x16,256.0,450.0,10,3.3,14.0,2.0,1.0,0.0,0.0,0.0
mobility radeon x700,67,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
geforce 9400m g,68,integrated(pcie 2.0 x16),256.0,450.0,10,3.3,12.0,3.0,0.0,0.0,0.0,0.0
geforce 9100m g,68,,,,,,,2.0,1.0,0.0,0.0,0.0
geforce go 6600,69,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8600m gs,70,pcie x16,256.0,600.0,10,3.3,20.0,4.0,0.0,0.0,0.0,0.0
mobility radeon x2500,82,pcie x16,256.0,460.0,9.0c,2.0,,,,,,
geforce 9300m g,85,pcie 2.0 x16,256.0,400.0,10,3.3,13.0,,,,,
mobility radeon hd 2400,90,pcie x16,256.0,450.0,10,2.0,,,,,,
mobility radeon hd 4200,91,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
mobility radeon hd 3450,91,pcie x16 2.0,256.0,500.0,10.1,2.0,,,,,,
geforce g205m,92,,,,,,,,,,,
mobility radeon x1600,92,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
mobility radeon hd 4270,93,internal pcie x16 1.1,512.0,590.0,10.1,2.0,,,,,,
mobility radeon hd 3470,93,pcie x16 2.0,256.0,680.0,10.1,2.0,,,,,,
radeon hd 6250,94,unb/mc,,400.0,11,4.4,35.0,3.0,0.0,1.0,0.0,43.0
mobility radeon hd 3430,98,pcie x16 2.0,256.0,450.0,10.1,2.0,,,,,,
mobility radeon hd 4250,98,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
geforce 9300m gs,100,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,2.0,0.0,0.0,0.0
geforce 9400m,101,,,,,,,3.0,2.0,0.0,0.0,0.0
mobility radeon hd 2400 xt,102,pcie x16,256.0,,10,2.0,,,,,,
geforce 9500m,104,,,,,,,,,,,
radeon hd 6290,105,unb/mc,,400.0,11,4.4,45.0,3.0,0.0,1.0,0.0,55.0
mobility radeon x1700,105,pcie x16,256.0,475.0,9.0c,2.0,,,,,,
geforce gt 320m,106,pcie 2.0 x16,1024.0,500.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce9400m,106,,,,,,,,,,,
geforce go 6800,106,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8400m gs,109,pcie x16,128.0,400.0,10,3.3,11.0,1.0,4.0,0.0,0.0,0.0
geforce 8600m gt,113,pcie x16,256.0,475.0,10,3.3,20.0,5.0,0.0,0.0,0.0,0.0
geforce go 7800,115,pcie x16,256.0,400.0,9.0c,2.1,35.0,,,,,
geforce 315m,115,pcie 2.0 x16,512.0,606.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 310m,116,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce g210m,117,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 9500m g,122,pcie 2.0 x16,512.0,500.0,10,3.3,20.0,6.0,0.0,0.0,0.0,0.0
geforce 9200m gs,122,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,3.0,0.0,0.0,0.0
geforce gt 220m,122,pcie 2.0 x16,1024.0,500.0,10,3.3,14.0,6.0,0.0,0.0,0.0,0.0
radeon hd 6310,122,unb/mc,,492.0,11,4.4,45.0,4.0,0.0,1.0,0.0,69.0
radeon hd 7290m,123,,,,,,,,,,,
geforce 8700m gt,124,pcie x16,256.0,625.0,10,3.3,29.0,7.0,0.0,0.0,0.0,0.0
geforce go 7600,128,pcie x16,512.0,450.0,9.0c,2.1,,,,,,
mobility radeon x1800,130,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
geforce 9600m gs,131,pcie 2.0 x16,1024.0,430.0,10,3.3,20.0,7.0,1.0,0.0,0.0,0.0
geforce 9500m gs,134,pcie x16,512.0,475.0,10,3.3,20.0,5.0,1.0,0.0,0.0,0.0
geforce g105m,134,,,,,,,5.0,1.0,0.0,0.0,0.0
mobility radeon x1900,135,pcie x16,256.0,400.0,9.0c,2.0,,,,,,
mobility radeon hd 4330,135,pcie x16 2.0,512.0,450.0,10.1,3.3,,,,,,
geforce 9650m gt,137,pcie 2.0 x16,1024.0,550.0,10,3.3,23.0,7.0,0.0,0.0,0.0,0.0
geforce go 6800 ultra,138,pci-e x16,256.0,450.0,9.0c,2.1,,,,,,
geforce 9600m gt,140,pcie 2.0 x16,512.0,500.0,10,3.3,23.0,8.0,1.0,0.0,0.0,0.0
mobility radeon hd 3650,140,pcie x16 2.0,1024.0,500.0,10.1,3.3,,5.0,1.0,0.0,0.0,0.0
radeon hd 6290m,140,,,,,,,,,,,
mobility radeon hd 4570,142,pcie x16 2.0,512.0,680.0,10.1,3.3,,5.0,1.0,0.0,0.0,0.0
geforce 9200m ge,144,,,,,,,2.0,4.0,0.0,0.0,0.0
radeon hd 6300m,144,,,,,,,6.0,1.0,2.0,0.0,45.0
geforce gt 130m,146,pcie 2.0 x16,1024.0,600.0,10,3.3,23.0,8.0,1.0,0.0,0.0,0.0
radeon hd 6320,147,unb/mc,,600.0,11,4.4,45.0,4.0,1.0,1.0,0.0,76.0
geforce go 7700,148,pcie x16,512.0,450.0,9.0c,2.1,,,,,,
geforce 305m,151,pcie 2.0 x16,512.0,525.0,10.1,3.3,14.0,6.0,0.0,0.0,0.0,0.0
geforce gt 120m,151,pcie 2.0 x16,1024.0,500.0,10,3.3,23.0,9.0,0.0,0.0,0.0,0.0
radeon hd 7310m,166,,,,,,,,,,,
geforce g102m,168,,,,,,,2.0,4.0,0.0,0.0,0.0
mobility radeon hd 2600,168,pcie x16,256.0,,10,2.0,,,,,,
geforce gt 325m,170,pcie 2.0 x16,1024.0,450.0,10.1,3.3,23.0,7.0,1.0,0.0,0.0,0.0
mobility radeon hd 530v,175,pcie x16 2.0,1024.0,500.0,10.1,3.3,,,,,,
geforce go 7900 gs,176,pcie x16,256.0,375.0,9.0c,2.1,20.0,,,,,
mobility radeon hd 5430,181,pcie x16 2.1,1024.0,,11,4.4,7.0,,,,,
mobility radeon hd 4550,191,pcie x16 2.0,512.0,550.0,10.1,3.3,,,,,,
mobility radeon hd 2600 xt,192,pcie x16,256.0,680.0,10,2.0,,,,,,
radeon hd 6430m,193,pcie 2.1 x16,1024.0,480.0,11,4.4,,,,,,
radeon hd 6320m,198,,,,,,,,,,,
mobility radeon hd 545v,200,pcie x16 2.0,1024.0,720.0,10.1,3.3,,,,,,
radeon hd 6380g,201,unb/mc,,400.0,11,4.4,35.0,5.0,1.0,2.0,0.0,88.0
radeon hd 8500m/8700m,853,,,,,,,,,,,
mobility radeon hd 4850,866,pcie x16 2.0,1024.0,500.0,10.1,3.3,,,,,,
radeon hd 7660g + hd 7730m dual,882,,,,,,,,,,,
radeon hd 8650g + 7670m dual,884,,,,,,,,,,,
radeon hd 8550g + 7600m dual,901,,,,,,,,,,,
radeon hd 7690m,909,pcie 2.1 x16,2048.0,,11,4.4,20.0,20.0,4.0,8.0,0.0,336.0
radeon 6750m,911,,,,,,,,,,,
geforce gt 640m,923,pcie 3.0 x16,2048.0,625.0,11,4.5,32.0,19.0,3.0,8.0,3.0,442.0
radeon hd 7660g + 7730m dual,931,,,,,,,,,,,
geforce gt 645m,935,pcie 3.0 x16,2048.0,710.0,11,4.5,32.0,14.0,3.0,7.0,5.0,477.0
radeon hd 6750m,937,pcie 2.1 x16,1024.0,600.0,11,4.4,,,,,,
radeon hd 7640g + 7690m dual,946,,,,,,,,,,,
radeon hd 6770m,964,pcie 2.1 x16,1024.0,725.0,11,4.4,,,,,,
radeon hd 7660g n hd 7660g + hd 7700m n hd 7700m d,967,,,,,,,,,,,
radeon r9 m375,970,pcie 3.0 x16,4096.0,,12.0,4.3,,20.0,3.0,6.0,6.0,536.0
radeon hd 8850m,973,pcie 3.0 x16,2048.0,,11.1,4.4,,,,,,
radeon hd 8690m,984,,,,,,,,,,,
radeon r7 m260x,986,pcie 3.0 x8,4096.0,,11.2,4.3,,17.0,4.0,6.0,5.0,411.0
radeon hd 7640g + hd 8750m dual,997,,,,,,,,,,,
radeon hd 7660g + hd 7500m/7600m dual,999,,,,,,,,,,,
radeon hd 7690m xt,1009,pcie 2.1 x16,2048.0,725.0,11,4.4,25.0,,,,,
geforce 830m,1010,pcie 3.0 x16,2048.0,1029.0,11.2,4.5,25.0,16.0,4.0,6.0,6.0,1323.0
radeon hd 8750m,1010,pcie 3.0 x8,2048.0,,11.1,4.4,,20.0,4.0,7.0,5.0,1174.0
geforce 930m,1013,,,,,,,15.0,4.0,6.0,6.0,571.0
radeon hd 6700m,1017,,,,,,,,,,,
radeon hd 8600/8700m,1030,,,,,,,,,,,
radeon hd 7520g + 7700m dual,1061,,,,,,,,,,,
radeon hd 8450g + 8600/8700m dual,1070,,,,,,,,,,,
mobility radeon hd 5870,1085,pcie x16 2.1,1024.0,700.0,11,4.4,50.0,28.0,5.0,9.0,0.0,496.0
geforce gtx 850m - modded,1092,,,,,,,,,,,
geforce 840m,1092,pcie 3.0 x16,2048.0,1029.0,11.2,4.5,30.0,18.0,4.0,6.0,6.0,625.0
geforce gt 745m,1096,pcie 3.0 x16,2048.0,837.0,11,4.5,45.0,23.0,3.0,9.0,5.0,542.0
radeon 610m,1101,,,,,,,24.0,3.0,11.0,6.0,639.0
radeont 610m,1101,,,,,,,23.0,3.0,11.0,6.0,485.0
radeon r9 m275,1115,,,,,,,,,,,
geforce 940m,1126,pcie 3.0 x16,2048.0,1072.0,12,4.5,33.0,19.0,4.0,6.0,7.0,745.0
radeon hd 8650g + 7700m dual,1126,,,,,,,,,,,
radeon hd 8850m / r9 m265x,1140,,,,,,,,,,,
radeon r9 m265x,1140,pcie 3.0 x16,4096.0,575.0,11.2,4.3,,26.0,5.0,6.0,5.0,518.0
quadro m500m,1163,pcie 3.0 x16,2048.0,,12.1,4.5,30.0,20.0,4.0,7.0,7.0,655.0
geforce gpu,1186,pci-e 3.0 x4,1024.0,954.0,,,,22.0,7.0,12.0,3.0,652.0
radeon hd 7750m,1191,pcie 2.1 x16,2048.0,575.0,11.1,4.4,28.0,,,,,
geforce gt 650m,1201,pcie 3.0 x16,2048.0,,11.2,4.5,45.0,25.0,4.0,10.0,4.0,551.0
radeon r9 m270x,1204,pcie 3.0 x16,4096.0,725.0,11.2,4.3,,16.0,3.0,4.0,9.0,780.0
geforce gtx 460m,1207,pcie 2.0 x16,1536.0,675.0,11,4.5,50.0,30.0,4.0,10.0,4.0,484.0
radeon hd 8790m / r9 m290x,1211,,,,,,,,,,,
geforce 9700m gt,209,pcie x16,512.0,625.0,10,3.3,45.0,11.0,1.0,0.0,0.0,0.0
geforce go 7800 gtx,210,pcie x16,256.0,400.0,9.0c,2.1,65.0,,,,,
geforce 320m,210,"integrated,pcie 2.0 x16",256.0,450.0,10.1,3.3,20.0,7.0,1.0,0.0,0.0,0.0
geforce go 7600 gt,210,pcie x16,256.0,500.0,9.0c,2.1,,6.0,0.0,0.0,0.0,0.0
