laptop_specs_id,laptop_specs_source,laptop_specs_brand,laptop_specs_name,laptop_specs_cpu,laptop_specs_vga,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_resolution,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_name,cpu_specs_performance_clockspeed,cpu_specs_performance_turbospeed,cpu_specs_performance_cores,cpu_specs_performance_threads,cpu_specs_efficient_clockspeed,cpu_specs_efficient_turbospeed,cpu_specs_efficient_cores,cpu_specs_efficient_threads,cpu_specs_tdp,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_l1_instruction_cache,cpu_specs_l1_data_cache,cpu_specs_l2_cache,cpu_specs_l3_cache,cpu_specs_eff_l1_instruction_cache,cpu_specs_eff_l1_data_cache,cpu_specs_eff_l2_cache,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_name,gpu_specs_avg_g3d_mark,gpu_specs_bus_interface,gpu_specs_max_memory_size,gpu_specs_core_clock,gpu_specs_max_direct,gpu_specs_open_gl,gpu_specs_max_tdp,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute
11,phongvu,hp,laptop hp 15s-fq5228tu - 8u240pa (i3-1215u/ ram 8gb/ onboard graphics/ 512gb ssd/ windows 11),intel core i3 1215u,,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,,250.0,41.0,3.0,1.7,windows 11 home,12.0,11190000,35.85,24.2,1.79,0.0,1.0,1.0,0.0,0.0,intel core i3 1215u,1.20,4.40,2,4,0.90,3.30,4.0,4.0,15.00,10834,3295,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,36571,26166,34,13404,7289,120970,616,7102,3295,,,,,,,,,,,,,
12,phongvu,acer,laptop gaming acer nitro v 15 propanel anv15-41-r7ap (ryzen 5 7535hs/ram 16gb/geforce rtx 2050/512gb ssd/ windows 11),amd ryzen 5 7535hs,geforce rtx 2050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,180.0,300.0,57.0,4.0,2.1,windows 11 home,12.0,19490000,36.23,23.99,2.35,0.0,1.0,1.0,0.0,0.0,amd ryzen 5 7535hs,3.30,4.60,6,12,,,,,35.00,18379,3171,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,63884,36335,50,23108,14102,228551,870,15935,3171,geforce rtx 2050,7690.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
13,phongvu,acer,laptop acer swift go 14 ai oled sfg14-73-75ym (ultra 7-155h/ram 16gb/onboard/512gb ssd/ windows 11),intel core ultra 7 155h,,16.0,ddr5,512.0,ssd,yes,14.0,2880x1800,90.0,400.0,65.0,4.0,1.4,windows 11 home,12.0,26290000,31.29,21.79,1.49,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,,,,,,,,,,,,,
14,phongvu,acer,laptop acer swift lite 14 ai sfl14-51m-56hs (ultra 5-125u/ram 16gb/onboard/512gb ssd/ windows 11),intel core ultra 5 125h,,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,300.0,58.0,3.0,1.3,windows 11 home,12.0,18590000,31.44,22.19,1.75,0.0,1.0,1.0,0.0,0.0,intel core ultra 5 125h,3.30,4.50,4,8,2.30,3.60,10.0,10.0,28.00,22144,3497,4 x 64 kb,4 x 48 kb,7 x 2048 kb,18 mb,10 x 64 kb,10 x 32 kb,,72368,53686,89,28705,15130,250927,1528,14518,3497,,,,,,,,,,,,,
15,phongvu,dell,laptop dell inspiron 14 5440 - 71034769 (core 5 120u/ ram 16gb/ onboard graphics/ 1tb ssd/ windows 11 + office),intel core 5 120u,,8.0,ddr5,1024.0,ssd,yes,14.0,1920x1200,,250.0,54.0,4.0,1.6,windows 11 home,12.0,22990000,31.4,22.62,1.73,0.0,1.0,1.0,0.0,0.0,intel core 5 120u,1.40,5.00,2,4,0.90,3.80,8.0,8.0,15.00,16540,3754,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,58136,39922,60,20728,11538,182368,1021,10037,3754,,,,,,,,,,,,,
16,phongvu,acer,laptop acer swift x 14 ai oled sfx14-72g-77f9 (ultra 7-155h/ ram 32gb/ geforce rtx™ 4050/ 1tb ssd/ windows 11),intel core ultra 7 155h,geforce rtx 4050,32.0,ddr5,1024.0,ssd,yes,14.5,2880x1800,120.0,400.0,76.0,4.0,1.5,windows 11 home,12.0,42990000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
17,phongvu,acer,laptop acer swift x 14 ai sfx14-72g-708x (ultra 7-155h/ ram 32gb/ geforce rtx™ 4060/ 1tb ssd/ windows 11),intel core ultra 7 155h,geforce rtx 4060,32.0,ddr5,1024.0,ssd,yes,14.5,2880x1800,120.0,400.0,76.0,4.0,1.5,windows 11 home,12.0,45390000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
18,phongvu,acer,laptop acer swift x 14 ai sfx14-72g-79uw (ultra 7-155h/ ram 32gb/ geforce rtx™ 4070/ 1tb ssd/ windows 11),intel core ultra 7 155h,geforce rtx 4070,32.0,ddr5,1024.0,ssd,yes,14.5,2880x1800,120.0,400.0,76.0,4.0,1.5,windows 11 home,12.0,51590000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
19,phongvu,acer,laptop acer swift 14 ai oled sf14-51-75vp (ultra 7-258v/ ram 32gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 7 258v,,32.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,90.0,400.0,65.0,3.0,1.2,windows 11 home,12.0,38190000,31.24,22.12,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 258v,3.70,4.80,4,4,2.20,3.70,4.0,4.0,17.00,19981,4067,4 x 64 kb,4 x 48 kb,4 x 2560 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 4096 kb,44386,60604,200,22755,14184,189429,1637,15926,4067,,,,,,,,,,,,,
20,phongvu,dell,laptop dell gaming g15 5530 (g15-5530-i7h161w11gr4060) (i7-13650hx) (xám đen),intel core i7 13650hx,geforce rtx 4060,8.0,ddr5,1024.0,ssd,yes,15.6,1920x1080,165.0,,56.0,3.0,2.6,windows 11 home,12.0,36990000,35.73,27.45,2.61,0.0,1.0,1.0,0.0,0.0,intel core i7 13650hx,2.60,4.90,6,12,1.90,3.60,8.0,8.0,55.00,31442,3815,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,105163,77322,102,42044,22329,397136,1751,23930,3815,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
21,phongvu,gigabyte,laptop gigabyte g5 kf-e3ph333sh (i5-12500h/ ram 8gb/ geforce rtx™ 4060/ 512gb ssd/ windows 11),intel core i5 12500h,geforce rtx 4060,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,54.0,,1.9,windows 11 home,24.0,24690000,36.0,23.8,2.27,0.0,2.0,1.0,0.0,0.0,intel core i5 12500h,2.50,4.50,4,8,,3.30,8.0,8.0,45.00,21059,3462,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73135,53313,59,28526,15103,259369,1038,15320,3462,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
22,phongvu,gigabyte,laptop gaming gigabyte g5 me (i5-12500h/ram 8gb/rtx 3050ti/512gb ssd/ windows 11),intel core i5 12500h,geforce rtx 3050 ti,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,54.0,,2.0,windows 11 home,24.0,27090000,36.0,23.9,2.38,0.0,2.0,1.0,0.0,0.0,intel core i5 12500h,2.50,4.50,4,8,,3.30,8.0,8.0,45.00,21059,3462,4 x 32 kb,4 x 48 kb,4 x 1280 kb,18 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,73135,53313,59,28526,15103,259369,1038,15320,3462,geforce rtx 3050 ti,10138.0,pcie 4.0 x8,4096.0,735.0,12,4.6,80.0,120.0,60.0,77.0,49.0,4329.0
23,phongvu,msi,laptop gaming msi stealth 14 ai studio a1vfg-085vn (ultra 7-155h/ram 32gb/geforce rtx 4060/1tb ssd/ windows 11),intel core ultra 7 155h,geforce rtx 4060,16.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,,,72.0,4.0,1.7,windows 11 home,24.0,49490000,31.56,24.62,2.18,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25166,3512,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88446,64790,114,31640,16670,280865,1774,16521,3512,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
24,phongvu,msi,laptop gaming msi cyborg 14 a13ve - 090vn (i7-13620h/ram 16gb/geforce rtx™ 4050/512gb ssd/ windows 11),intel core i7 13620h,geforce rtx 4050,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,,53.0,3.0,1.6,windows 11 home,24.0,26490000,31.47,23.35,2.23,0.0,1.0,1.0,0.0,0.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 4050,14433.0,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
25,phongvu,hp,laptop hp pavilion x360 14-ek2017tu - 9z2v5pa (core 5 120u/ ram 16gb/ onboard/ 512gb ssd),intel core 5 120u,,16.0,ddr4,512.0,ssd,yes,14.0,1920x1080,,,43.0,3.0,1.5,,12.0,22490000,32.2,21.0,1.99,0.0,1.0,1.0,0.0,0.0,intel core 5 120u,1.40,5.00,2,4,0.90,3.80,8.0,8.0,15.00,16540,3754,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,58136,39922,60,20728,11538,182368,1021,10037,3754,,,,,,,,,,,,,
26,phongvu,acer,laptop acer predator helios neo 16 phn16-71-53m7 (i5-13500hx/ram 16gb/geforce rtx 4060/512gb ssd/ windows 11),intel core i5 13500hx,geforce rtx 4060,8.0,ddr5,512.0,ssd,yes,16.0,1920x1200,165.0,500.0,90.0,4.0,2.6,windows 11 home,12.0,25490000,36.01,27.99,2.83,0.0,3.0,1.0,0.0,0.0,intel core i5 13500hx,2.50,4.70,6,12,1.80,3.50,8.0,8.0,55.00,30490,3655,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,103033,76792,106,40116,21587,374292,1783,22591,3655,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
27,phongvu,msi,laptop msi cyborg 14 a13udx-099vn (i7-13620h/ ram 16gb/ geforce rtx™ 3050/ 512gb ssd/ windows 11),intel core i7 13620h,geforce rtx 3050,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,144.0,,53.0,3.0,1.6,windows 11 home,24.0,23990000,31.47,23.35,2.23,0.0,1.0,1.0,0.0,0.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 3050,9454.0,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
28,phongvu,msi,laptop gaming msi stealth 18 ai studio a1vhg-058vn (ultra 9 185h/ram 32gb/geforce rtx 4080/2tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4080,32.0,ddr5,2048.0,ssd,yes,18.0,3840x2400,120.0,,99.0,4.0,2.9,windows 11 home,36.0,93990000,40.0,28.97,2.4,0.0,1.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29407,3714,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99096,73657,124,38603,19944,341515,1987,20280,3714,geforce rtx 4080,25076.0,pcie 4.0 x16,12288.0,1860.0,12_2,4.6,150.0,286.0,161.0,248.0,96.0,11422.0
29,phongvu,msi,laptop gaming msi stealth 18 ai studio a1vgg-008vn (ultra 9 185h/ram 32gb/geforce rtx 4070/2tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4070,16.0,ddr5,2048.0,ssd,yes,18.0,3840x2400,,1000.0,99.0,4.0,2.9,windows 11 home,36.0,75990000,40.0,28.97,2.4,0.0,1.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29407,3714,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99096,73657,124,38603,19944,341515,1987,20280,3714,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
30,phongvu,msi,laptop msi stealth 16 mercedes amg motorsport a1vgg-293vn (ultra 9-185h/ ram 32gb/ geforce rtx™ 4070/ 2tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4070,16.0,ddr5,2048.0,ssd,yes,16.0,2560x1600,240.0,600.0,65.0,4.0,2.0,windows 11 home,24.0,67490000,35.58,25.97,1.99,0.0,1.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29407,3714,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99096,73657,124,38603,19944,341515,1987,20280,3714,geforce rtx 4070,19587.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
31,phongvu,msi,laptop gaming msi cyborg 15 a13vfk-876vn (i7-13620h/ram 16gb/geforce rtx 4060/512gb ssd/ windows 11),intel core i7 13620h,geforce rtx 4060,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.0,3.0,2.0,windows 11 home,24.0,28590000,35.94,25.03,2.29,0.0,1.0,1.0,0.0,0.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24801,3682,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84263,62141,100,29769,16054,289551,1676,17963,3682,geforce rtx 4060,17659.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
32,phongvu,msi,laptop gaming msi stealth 18 ai studio a1vhg-025vn (ultra 9 185h/ram 32gb/geforce rtx 4080/2tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4080,32.0,ddr5,2048.0,ssd,yes,18.0,3840x2400,120.0,1000.0,99.0,4.0,3.0,windows 11 home,36.0,94990000,40.0,28.97,2.4,0.0,1.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29407,3714,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99096,73657,124,38603,19944,341515,1987,20280,3714,geforce rtx 4080,25076.0,pcie 4.0 x16,12288.0,1860.0,12_2,4.6,150.0,286.0,161.0,248.0,96.0,11422.0
33,phongvu,hp,laptop hp pavilion x360 14-ek2024tu - 9z2v6pa (core 5 120u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),intel core 5 120u,,16.0,ddr4,512.0,ssd,yes,14.0,1920x1080,,300.0,43.0,3.0,1.5,windows 11 home,12.0,23490000,32.2,21.0,1.99,0.0,1.0,1.0,0.0,0.0,intel core 5 120u,1.40,5.00,2,4,0.90,3.80,8.0,8.0,15.00,16540,3754,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,58136,39922,60,20728,11538,182368,1021,10037,3754,,,,,,,,,,,,,
