laptop_specs_id,laptop_specs_source,laptop_specs_brand,laptop_specs_name,laptop_specs_cpu,laptop_specs_vga,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_resolution,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_name,cpu_specs_performance_clockspeed,cpu_specs_performance_turbospeed,cpu_specs_performance_cores,cpu_specs_performance_threads,cpu_specs_efficient_clockspeed,cpu_specs_efficient_turbospeed,cpu_specs_efficient_cores,cpu_specs_efficient_threads,cpu_specs_tdp,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_l1_instruction_cache,cpu_specs_l1_data_cache,cpu_specs_l2_cache,cpu_specs_l3_cache,cpu_specs_eff_l1_instruction_cache,cpu_specs_eff_l1_data_cache,cpu_specs_eff_l2_cache,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_name,gpu_specs_avg_g3d_mark,gpu_specs_bus_interface,gpu_specs_max_memory_size,gpu_specs_core_clock,gpu_specs_max_direct,gpu_specs_open_gl,gpu_specs_max_tdp,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute
13,phongvu,lenovo,laptop lenovo thinkpad e16 g1 t - 21jn006gvn (i7-1355u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),intel core i7 1355u,,16.0,ddr4,512.0,ssd,yes,16.0,1920x1200,,300.0,47.0,,1.8,windows 11 home,24.0,24990000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,intel core i7 1355u,1.70,5.00,2,4,1.20,3.70,8.0,8.0,15.00,14828,3504,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54333,36303,56,18079,10171,160029,935,8891,3504,,,,,,,,,,,,,
14,phongvu,lenovo,laptop lenovo thinkpad e16 gen 2 - 21ma004pvn (ultra 7-155h/ ram 32gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 155h,,16.0,ddr5,1024.0,ssd,yes,16.0,2560x1600,,400.0,47.0,,1.8,windows 11 home,24.0,32590000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25114,3523,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88381,64685,114,31400,16655,279971,1775,16443,3523,,,,,,,,,,,,,
15,phongvu,lenovo,laptop lenovo thinkpad x13 gen 5 - 21lu004nvn (ultra 5-125u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),intel core ultra 5 125u,,16.0,ddr5,512.0,ssd,yes,13.3,1920x1200,,300.0,54.0,,1.1,windows 11 pro,36.0,33290000,30.17,21.48,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 5 125u,1.30,4.30,2,4,0.80,3.60,10.0,10.0,15.00,17450,3322,4 x 32 kb,1 x 64 kb,1 x 2048 kb,12 mb,,,,57620,41863,63,21428,12402,197964,1113,11394,3322,,,,,,,,,,,,,
16,phongvu,lenovo,laptop lenovo thinkpad e16 gen 2 - 21ma0048vn (ultra 5-125u/ ram 16gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 5 125u,,16.0,ddr5,1024.0,ssd,yes,16.0,1920x1200,,300.0,47.0,3.0,1.8,windows 11 home,24.0,23990000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,intel core ultra 5 125u,1.30,4.30,2,4,0.80,3.60,10.0,10.0,15.00,17450,3322,4 x 32 kb,1 x 64 kb,1 x 2048 kb,12 mb,,,,57620,41863,63,21428,12402,197964,1113,11394,3322,,,,,,,,,,,,,
17,phongvu,lenovo,laptop lenovo thinkpad e16 gen 2 - 21ma004jvn (ultra 7-155u/ ram 16gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 155u,,16.0,ddr5,1024.0,ssd,yes,16.0,1920x1200,,300.0,47.0,,1.8,windows 11 home,24.0,28390000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16781,3445,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59322,41990,64,19837,11808,182864,1110,10307,3445,,,,,,,,,,,,,
18,phongvu,lenovo,laptop lenovo thinkpad e16 gen 2 - 21ma0047vn (ultra 5-125u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),intel core ultra 5 125u,,16.0,ddr5,512.0,ssd,yes,16.0,1920x1200,,300.0,47.0,,1.8,windows 11 home,24.0,22990000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,intel core ultra 5 125u,1.30,4.30,2,4,0.80,3.60,10.0,10.0,15.00,17450,3322,4 x 32 kb,1 x 64 kb,1 x 2048 kb,12 mb,,,,57620,41863,63,21428,12402,197964,1113,11394,3322,,,,,,,,,,,,,
19,phongvu,lenovo,laptop lenovo thinkpad x13 gen 5 - 21lu004wvn (ultra 7-155u/ ram 32gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 7 155u,,32.0,ddr5,1024.0,ssd,yes,13.3,1920x1200,,300.0,54.0,4.0,1.1,windows 11 pro,36.0,41390000,30.17,21.48,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16781,3445,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59322,41990,64,19837,11808,182864,1110,10307,3445,,,,,,,,,,,,,
20,phongvu,lenovo,laptop lenovo thinkpad t14s gen 5 - 21ls005rvn (ultra 5-125u/ ram 16gb/ onboard/ 512gb ssd/ windows 11),intel core ultra 5 125u,,16.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,400.0,58.0,3.0,1.2,windows 11 pro,36.0,33990000,31.36,21.94,1.69,0.0,2.0,1.0,0.0,0.0,intel core ultra 5 125u,1.30,4.30,2,4,0.80,3.60,10.0,10.0,15.00,17450,3322,4 x 32 kb,1 x 64 kb,1 x 2048 kb,12 mb,,,,57620,41863,63,21428,12402,197964,1113,11394,3322,,,,,,,,,,,,,
21,phongvu,lenovo,laptop lenovo thinkpad t16 gen 3 - 21mn007rvn (ultra 7-155u/ ram 32gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 155u,,32.0,ddr5,1024.0,ssd,yes,16.0,1920x1200,,300.0,52.0,4.0,1.66,windows 11 pro,36.0,39290000,35.97,25.08,1.96,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16781,3445,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59322,41990,64,19837,11808,182864,1110,10307,3445,,,,,,,,,,,,,
22,phongvu,lenovo,laptop lenovo thinkpad e14 gen 6 - 21m70051vn (ultra 7-155h/ ram 32gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 155h,,16.0,ddr5,1024.0,ssd,yes,14.0,2240x1400,,300.0,47.0,,1.4,windows 11 home,24.0,31990000,31.3,21.93,1.8,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25114,3523,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88381,64685,114,31400,16655,279971,1775,16443,3523,,,,,,,,,,,,,
23,phongvu,dell,laptop dell inspiron 3520 n5i5201w1 (i5-1235u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11+ office),intel core i5 1235u,,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,120.0,250.0,41.0,3.0,1.66,windows 11 home,12.0,16890000,35.8,23.56,1.9,2.0,0.0,1.0,0.0,0.0,intel core i5 1235u,1.30,4.40,2,4,0.90,3.30,8.0,8.0,15.00,13388,3218,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,50412,33950,37,17469,9643,150997,735,8360,3218,,,,,,,,,,,,,
24,phongvu,dell,laptop dell inspiron 3530 n5i7240w1 (i7-1355u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11 + office),intel core i7 1355u,,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,120.0,250.0,54.0,4.0,1.66,windows 11 home,12.0,20390000,35.85,23.56,1.9,0.0,1.0,1.0,0.0,0.0,intel core i7 1355u,1.70,5.00,2,4,1.20,3.70,8.0,8.0,15.00,14828,3504,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54333,36303,56,18079,10171,160029,935,8891,3504,,,,,,,,,,,,,
25,phongvu,msi,laptop msi cyborg 14 a13udx-099vn (i7-13620h/ ram 16gb/ geforce rtx™ 3050/ 512gb ssd/ windows 11),intel core i7 13620h,geforce rtx 3050,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,144.0,,53.0,3.0,1.6,windows 11 home,24.0,24990000,31.47,23.35,2.23,0.0,1.0,1.0,0.0,0.0,intel core i7 13620h,2.40,4.90,6,12,1.80,3.60,4.0,4.0,45.00,24850,3689,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,84451,62278,100,29800,16091,290251,1678,18001,3689,geforce rtx 3050,9458.0,pcie 4.0renamed_columns = set()

def make_unique(column_name, counter=1):
    """Ensure column names are unique by appending a counter if needed."""
    unique_name = column_name
    while unique_name in renamed_columns:
        unique_name = f"{column_name}_{counter}"
        counter += 1
    renamed_columns.add(unique_name)
    return unique_name

# Prepare a list to store the new column names
new_column_names = []

# Iterate through the columns and generate new column names
for i, col in enumerate(df.columns):
    if i < len(LAPTOP_SPECS_COLUMNS):
        new_name = f'laptop_specs_{col}'
    elif i < len(LAPTOP_SPECS_COLUMNS) + len(CPU_SPECS_COLUMNS):
        new_name = f'cpu_specs_{col}'
    else:
        new_name = f'gpu_specs_{col}'

    # Make the column name unique
    unique_name = make_unique(new_name)
    new_column_names.append(unique_name)

# Assign the new column names to the DataFrame at once
df.columns = new_column_names

# Close the connection
connection.close()

return df
 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
26,phongvu,hp,laptop hp hp probook 460 g11- a74mqpt (ultra 5-125h/ ram 16gb/ onboard/ 512gb ssd/ windows 11),intel core ultra 5 125h,,16.0,ddr5,512.0,ssd,yes,16.0,1920x1200,,300.0,56.0,3.0,1.7,windows 11 home,12.0,23490000,35.94,25.11,1.7,0.0,2.0,1.0,0.0,0.0,intel core ultra 5 125h,3.30,4.50,4,8,2.30,3.60,10.0,10.0,28.00,22301,3501,4 x 64 kb,4 x 48 kb,7 x 2048 kb,18 mb,10 x 64 kb,10 x 32 kb,,72517,53887,90,29005,15271,253186,1541,14647,3501,,,,,,,,,,,,,
27,phongvu,acer,laptop acer swift 14 ai oled sf14-51-75vp (ultra 7-258v/ ram 32gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 7 258v,,32.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,90.0,400.0,65.0,3.0,1.2,windows 11 home,12.0,39990000,31.24,22.12,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 258v,3.70,4.80,4,4,2.20,3.70,4.0,4.0,17.00,19773,3992,4 x 64 kb,4 x 48 kb,4 x 2560 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 4096 kb,44536,60763,198,22380,13983,187115,1622,15602,3992,,,,,,,,,,,,,
28,phongvu,acer,laptop acer predator helios neo 16 phn16-71-53m7 (i5-13500hx/ram 16gb/geforce rtx 4060/512gb ssd/ windows 11),intel core i5 13500hx,geforce rtx 4060,8.0,ddr5,512.0,ssd,yes,16.0,1920x1200,165.0,500.0,90.0,4.0,2.6,windows 11 home,12.0,25390000,36.01,27.99,2.83,0.0,3.0,1.0,0.0,0.0,intel core i5 13500hx,2.50,4.70,6,12,1.80,3.50,8.0,8.0,55.00,30425,3655,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,102900,76709,106,39942,21530,373311,1785,22531,3655,geforce rtx 4060,17662.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6828.0
29,phongvu,lenovo,laptop lenovo thinkpad t14s gen 5 - 21ls0062vn (ultra 7-155u/ ram 32gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 7 155u,,32.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,120.0,400.0,58.0,,1.24,windows 11 pro,36.0,44990000,31.36,21.94,1.69,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16781,3445,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59322,41990,64,19837,11808,182864,1110,10307,3445,,,,,,,,,,,,,
30,phongvu,lenovo,laptop lenovo thinkpad e14 gen 6 - 21m7004yvn (ultra 7-155h/ ram 16gb/ 512gb ssd/ windows 11),intel core ultra 7 155h,,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,300.0,47.0,,1.4,windows 11 home,24.0,27590000,31.3,21.93,1.8,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25114,3523,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88381,64685,114,31400,16655,279971,1775,16443,3523,,,,,,,,,,,,,
31,phongvu,lenovo,laptop lenovo thinkpad x1 carbon gen 12 - 21kc00agvn (ultra 7-165u/ ram 64gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 7 165u,,64.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,120.0,400.0,57.0,3.0,1.1,windows 11 pro,36.0,62490000,31.28,21.48,1.5,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 165u,1.70,4.90,2,4,1.20,3.80,10.0,10.0,15.00,17556,3398,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59320,42136,67,21360,12384,194550,1169,11039,3398,,,,,,,,,,,,,
32,phongvu,lenovo,laptop lenovo thinkpad t16 gen 3 - 21mn007qvn (ultra 7-155u/ ram 16gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 155u,,16.0,ddr5,1024.0,ssd,yes,16.0,1920x1200,,300.0,52.0,4.0,1.66,windows 11 pro,36.0,37590000,35.97,25.08,1.96,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155u,1.70,4.80,2,4,1.20,3.80,10.0,10.0,15.00,16781,3445,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,59322,41990,64,19837,11808,182864,1110,10307,3445,,,,,,,,,,,,,
33,phongvu,msi,laptop msi crosshair 16 hx d14vfkg (i9-14900hx/ ram 16gb/ geforce rtx™ 4060/ 1tb ssd/,intel core i9 14900hx,geforce rtx 4060,8.0,ddr5,1024.0,ssd,yes,16.0,2560x1600,240.0,,90.0,4.0,2.5,,24.0,41990000,35.9,26.64,2.79,0.0,1.0,1.0,0.0,0.0,intel core i9 14900hx,2.20,5.80,8,16,1.60,4.10,16.0,16.0,55.00,45650,4300,8 x 32 kb,8 x 48 kb,8 x 2048 kb,36 mb,16 x 64 kb,16 x 32 kb,4 x 4096 kb,163612,116486,201,62740,34092,564409,2769,32655,4300,geforce rtx 4060,17662.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6828.0
34,phongvu,acer,laptop acer swift x 14 ai sfx14-72g-708x (ultra 7-155h/ ram 32gb/ geforce rtx™ 4060/ 1tb ssd/ windows 11),intel core ultra 7 155h,geforce rtx 4060,32.0,ddr5,1024.0,ssd,yes,14.5,2880x1800,120.0,400.0,76.0,4.0,1.5,windows 11 home,12.0,47490000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25114,3523,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88381,64685,114,31400,16655,279971,1775,16443,3523,geforce rtx 4060,17662.0,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6828.0
